  h_1  k_1  l_1  iint_u_1  iint_d_1      fr_1  h_2  k_2  l_2  iint_u_2  iint_d_2      fr_2  h_3  k_3  l_3  iint_u_3  iint_d_3      fr_3      fr_mod    fr_exp   sfr_exp
 None None None      None      None      None    0    4  -10     5.257     7.843   0.67035 None None None      None      None      None        None   0.55500   0.04610
    4    4   -6     6.031    12.120   0.49758   -7   -1    0     2.171     6.167   0.35198   -7    1    0     2.171     6.167   0.35198     0.44371   0.42360   0.04150
   -1    2   -5     0.906     0.929   0.97511   -3    2   -3     0.818     0.838   0.97515   -3   -2    3     0.818     0.838   0.97515     0.97513   0.89780   0.11650
   -4    3   -5     2.703     2.710   0.99749   -2    3   -7     0.711     0.713   0.99748   -2   -3    7     0.711     0.713   0.99748     0.99749   0.97400   0.13540
    5    3   -4     1.011     5.538   0.18255   -6   -2    2     6.344    15.491   0.40951   -6    2   -2     6.344    15.491   0.40951     0.35583   0.25000   0.04440
   -1    4   -7     2.907     2.910   0.99868   -5    2   -5     0.556     0.557   0.99869   -5   -2    5     0.556     0.557   0.99869     0.99868   0.97150   0.14380
    7    1    0     2.169     6.168   0.35168   -4   -4    6     6.022    12.133   0.49635   -4    4   -6     6.022    12.133   0.49635     0.45210   0.48270   0.06510
   -3    2   -3     0.818     0.838   0.97529   -1    2   -5     0.906     0.929   0.97524   -1   -2    5     0.906     0.929   0.97524     0.97526   0.76040   0.13540
   -2    3   -7     0.711     0.713   0.99747   -4    3   -5     2.703     2.710   0.99748   -4   -3    5     2.703     2.710   0.99748     0.99748   1.13910   0.11660
   -4    4   -6     6.048    12.098   0.49989   -3    3   -8     4.747    10.184   0.46613   -3   -3    8     4.747    10.184   0.46613     0.48326   0.36580   0.04730
   -3    5   -8     1.776     3.364   0.52789   -5    3   -8     1.778     3.361   0.52909   -5   -3    8     1.778     3.361   0.52909     0.52854   0.67750   0.06550
   -1    5   -8     4.390     7.952   0.55206   -6    2   -6     7.466    11.976   0.62339   -6   -2    6     7.466    11.976   0.62339     0.59734   0.53920   0.05580
   -1   -3    8     2.245     8.297   0.27058 None None None      None      None      None    6    2   -2     6.365    15.461   0.41170     0.36690   0.22440   0.05730
    1    3   -6     3.656     2.449   1.49328   -5    1   -2     5.101     1.673   3.04990   -5   -1    2     5.101     1.673   3.04990     2.17942   1.30200   0.18340
