#wavelength 1.4
#field 0. 0.  1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 32.71   658550.00    811.51    659919.00    812.35
 32.75   662149.00    813.73    665101.00    815.54
 32.80   682150.00    825.92    684954.00    827.62
 32.84   668923.00    817.88    671044.00    819.17
 32.88   671146.00    819.24    674114.00    821.04
 32.93   668577.00    817.67    670000.00    818.54
 32.97   661254.00    813.18    663599.00    814.62
 33.01   681823.00    825.73    683050.00    826.47
 33.06   662572.00    813.99    665076.00    815.52
 33.10   678367.00    823.63    680094.00    824.68
 33.15   669215.00    818.06    673230.00    820.51
 33.19   680177.00    824.73    681663.00    825.63
 33.24   665295.00    815.66    667871.00    817.23
 33.29   682666.00    826.24    686941.00    828.82
 33.33   673645.00    820.76    676814.00    822.69
 33.37   664876.00    815.40    668287.00    817.49
 33.42   687919.00    829.41    692936.00    832.43
 33.47   680623.00    825.00    683765.00    826.90
 33.51   667921.00    817.26    668158.00    817.41
 33.56   692784.00    832.34    694436.00    833.33
 33.60   678926.00    823.97    682257.00    825.99
 33.65   689477.00    830.35    693860.00    832.98
 33.69   690212.00    830.79    692782.00    832.34
 33.74   676833.00    822.70    681026.00    825.24
 33.79   695679.00    834.07    697516.00    835.17
 33.83   683797.00    826.92    688275.00    829.62
 33.88   701902.00    837.80    706967.00    840.81
 33.92   684641.00    827.43    686652.00    828.64
 33.97   685336.00    827.85    688602.00    829.82
 34.02   700701.00    837.08    704851.00    839.55
 34.07   699396.00    836.30    700185.00    836.77
 34.11   681649.00    825.62    685717.00    828.08
 34.16   699332.00    836.26    702813.00    838.34
 34.21   702747.00    838.30    705966.00    840.22
 34.25   693726.00    832.90    697909.00    835.41
 34.30   688294.00    829.63    691497.00    831.56
 34.35   704136.00    839.13    707431.00    841.09
 34.40   707014.00    840.84    708748.00    841.87
 34.45   703937.00    839.01    705972.00    840.22
 34.49   697490.00    835.16    700443.00    836.92
 34.54   699565.00    836.40    701348.00    837.47
 34.59   701520.00    837.57    702209.00    837.98
 34.64   705988.00    840.23    708776.00    841.89
 34.69   709788.00    842.49    710278.00    842.78
 34.74   707293.00    841.01    707202.00    840.95
 34.79   705708.00    840.06    706824.00    840.73
 34.84   706127.00    840.31    710176.00    842.72
