#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   61.60000     335.02     335.02     248.17     248.17     86.850    335.020
   61.80000     293.23     293.23     211.38     211.38     81.840    293.230
   62.00000     256.14     256.14     179.68     179.68     76.460    256.140
   62.20000     224.89     224.89     153.93     153.93     70.960    224.890
   62.40000     200.31     200.31     134.61     134.61     65.700    200.310
   62.60000     183.03     183.03     121.94     121.94     61.100    183.030
   62.80000     173.50     173.50     115.91     115.91     57.580    173.500
   63.00000     171.88     171.88     116.35     116.35     55.530    171.880
   63.20000     178.09     178.09     122.92     122.92     55.180    178.090
   63.40000     191.86     191.86     135.23     135.23     56.630    191.860
   63.60000     212.86     212.86     152.98     152.98     59.880    212.860
   63.80000     240.87     240.87     176.09     176.09     64.780    240.870
   64.00000     275.87     275.87     204.68     204.68     71.190    275.870
   64.20000     317.93     317.93     239.04     239.04     78.890    317.930
   64.40000     366.89     366.89     279.25     279.25     87.640    366.890
   64.60000     422.03     422.03     324.91     324.91     97.120    422.030
   64.80000     481.64     481.64     374.75     374.75    106.890    481.640
   65.00000     542.92     542.92     426.54     426.54    116.380    542.920
   65.20000     602.03     602.03     477.12     477.12    124.910    602.030
   65.40000     654.58     654.58     522.81     522.81    131.770    654.580
   65.60000     696.21     696.21     559.91     559.91    136.300    696.210
   65.80000     723.32     723.32     585.28     585.28    138.050    723.320
   66.00000     733.62     733.62     596.86     596.86    136.770    733.620
   66.20000     726.50     726.50     593.95     593.95    132.540    726.500
   66.40000     703.04     703.04     577.30     577.30    125.740    703.040
   66.60000     665.82     665.82     548.89     548.89    116.930    665.820
   66.80000     618.44     618.44     511.59     511.59    106.850    618.440
   67.00000     565.01     565.01     468.75     468.75     96.260    565.010
   67.20000     509.64     509.64     423.76     423.76     85.880    509.640
   67.40000     456.00     456.00     379.70     379.70     76.300    456.000
   67.60000     407.07     407.07     339.14     339.14     67.930    407.070
   67.80000     365.00     365.00     304.01     304.01     61.000    365.000
   68.00000     331.16     331.16     275.59     275.59     55.570    331.160
   68.20000     306.16     306.16     254.58     254.58     51.590    306.160
   68.40000     289.99     289.99     241.12     241.12     48.860    289.990
   68.60000     282.09     282.09     234.91     234.91     47.180    282.090
   68.80000     281.49     281.49     235.18     235.18     46.320    281.490
   69.00000     286.87     286.87     240.82     240.82     46.050    286.870
   69.20000     296.62     296.62     250.42     250.42     46.200    296.620
   69.40000     309.02     309.02     262.37     262.37     46.640    309.020
   69.60000     322.31     322.31     275.04     275.04     47.270    322.310
   69.80000     334.88     334.88     286.89     286.89     47.990    334.880
   70.00000     345.41     345.41     296.64     296.64     48.770    345.410
   70.20000     352.94     352.94     303.43     303.43     49.520    352.940
   70.40000     357.04     357.04     306.86     306.86     50.180    357.040
   70.60000     357.70     357.70     307.05     307.05     50.650    357.700
   70.80000     355.40     355.40     304.55     304.55     50.850    355.400
   71.00000     350.91     350.91     300.23     300.23     50.680    350.910
   71.20000     345.19     345.19     295.17     295.17     50.020    345.190
   71.40000     339.24     339.24     290.43     290.43     48.810    339.240
   71.60000     333.94     333.94     286.93     286.93     47.010    333.940
   71.80000     329.95     329.95     285.33     285.33     44.620    329.950
   72.00000     327.60     327.60     285.92     285.92     41.690    327.600
   72.20000     326.94     326.94     288.64     288.64     38.310    326.940
   72.40000     327.76     327.76     293.14     293.14     34.620    327.760
   72.60000     329.65     329.65     298.86     298.86     30.800    329.650
   72.80000     332.20     332.20     305.18     305.18     27.020    332.200
   73.00000     335.05     335.05     311.57     311.57     23.480    335.050
   73.20000     337.99     337.99     317.66     317.66     20.330    337.990
   73.40000     341.03     341.03     323.31     323.31     17.720    341.030
   73.60000     344.37     344.37     328.62     328.62     15.760    344.370
   73.80000     348.34     348.34     333.85     333.85     14.490    348.340
   74.00000     353.28     353.28     339.35     339.35     13.930    353.280
   74.20000     359.48     359.48     345.42     345.42     14.060    359.480
   74.40000     367.03     367.03     352.22     352.22     14.820    367.030
   74.60000     375.78     375.78     359.66     359.66     16.120    375.780
   74.80000     385.31     385.31     367.44     367.44     17.880    385.310
   75.00000     394.98     394.98     374.99     374.99     19.990    394.980
   75.20000     403.98     403.98     381.64     381.64     22.350    403.980
   75.40000     411.48     411.48     386.61     386.61     24.870    411.480
   75.60000     416.69     416.69     389.23     389.23     27.470    416.690
   75.80000     419.05     419.05     388.98     388.98     30.070    419.050
   76.00000     418.22     418.22     385.62     385.62     32.600    418.220
   76.20000     414.21     414.21     379.21     379.21     35.000    414.210
   76.40000     407.36     407.36     370.13     370.13     37.230    407.360
   76.60000     398.27     398.27     359.05     359.05     39.220    398.270
   76.80000     387.76     387.76     346.82     346.82     40.950    387.760
   77.00000     376.77     376.77     334.41     334.41     42.360    376.770
   77.20000     366.24     366.24     322.80     322.80     43.440    366.240
   77.40000     357.03     357.03     312.86     312.86     44.170    357.030
   77.60000     349.84     349.84     305.30     305.30     44.540    349.840
   77.80000     345.15     345.15     300.58     300.58     44.570    345.150
   78.00000     343.16     343.16     298.89     298.89     44.270    343.160
   78.20000     343.86     343.86     300.17     300.17     43.690    343.860
