#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   64.40000  659.66        18.98     516.44            18.38    142.967     26.418
   64.60000  782.99        19.10     592.39            18.33    190.717     26.470
   64.80000  839.92        19.70     625.32            18.81    214.618     27.242
   65.00000  919.40        19.95     696.39            19.04    222.992     27.582
   65.20000  924.99        20.01     707.15            19.14    217.277     27.686
   65.40000  1017.50       20.21      801.94           19.36    215.501     27.987
   65.60000  1000.25       20.27      785.10           19.42    215.144     28.068
   65.80000  1035.91       20.12      838.97           19.36    196.955     27.925
   66.00000  1062.77       20.26      814.77           19.29    248.083     27.972
   66.20000  1023.34       20.31      820.36           19.51    203.016     28.165
   66.40000  950.90        20.05     786.30            19.38    164.572     27.888
   66.60000  901.83        19.85     723.91            19.11    177.795     27.550
   66.80000  858.09        19.68     703.26            19.04    154.921     27.381
   67.00000  788.71        19.33     663.21            18.81    125.577     26.977
   67.20000  818.61        19.15     622.00            18.35    196.802     26.525
   67.40000  731.56        19.16     609.02            18.65    122.507     26.739
   67.60000  699.64        19.07     587.80            18.58    111.853     26.627
   67.80000  615.29        18.76     508.89            18.30    107.416     26.214
   68.00000  584.64        18.69     450.59            18.11    133.497     26.030
   68.20000  610.66        18.77     481.61            18.19    128.796     26.138
   68.40000  515.66        18.57     438.07            18.22     77.725     26.014
   68.60000  566.21        18.84     513.38            18.61     52.808     26.480
   68.80000  557.98        19.09     489.74            18.80     68.284     26.790
   69.00000  590.37        19.10     496.35            18.68     94.022     26.719
   69.20000  602.21        19.10     494.58            18.61    107.632     26.668
   69.40000  610.71        19.04     558.70            18.80     51.649     26.764
   69.60000  631.87        19.24     495.94            18.65    136.161     26.794
   69.80000  614.17        19.33     526.89            18.93     87.256     27.059
   70.00000  591.01        19.73     555.20            19.57     36.170     27.790
   70.20000  682.02        19.90     570.09            19.41    111.849     27.799
   70.40000  671.82        19.93     558.63            19.42    113.192     27.828
   70.60000  620.64        19.65     564.74            19.40     55.859     27.611
   70.80000  672.90        19.91     521.03            19.23    151.711     27.685
   71.00000  623.43        19.82     521.46            19.37    101.828     27.716
   71.20000  650.80        20.39     527.79            19.83    122.940     28.444
