# wavelength 2.748510 2.289620 1.935970 1.788965 1.540520 0.709260 0.559360 0.215947 0.209010 0.180195
Rn	f'	-10.2749	-5.7275	-4.3331	-4.0549	-3.9487	-8.0659	-2.0847	-1.3475	-1.3982	-1.6571	f"	24.2613	18.772	14.6313	12.9815	10.3181	10.458	8.3112	1.7103	1.6167	1.2504
Fr	f'	-10.8938	-6.218	-4.5387	-4.1818	-3.9689	-7.2224	-2.4129	-1.3404	-1.3892	-1.6367	f"	24.3041	19.6009	15.3016	13.5825	10.8038	7.7847	8.6839	1.7986	1.7004	1.3162
Ra	f'	-12.3462	-6.7502	-4.7764	-4.3309	-4.0088	-6.7704	-2.8081	-1.3462	-1.3931	-1.6299	f"	25.5374	20.4389	15.9778	14.1902	11.2969	8.1435	9.0614	1.8891	1.7863	1.384
Ac	f'	-12.3496	-7.4161	-5.0617	-4.527	-4.0794	-6.8494	-3.2784	-1.3473	-1.3922	-1.619	f"	25.1363	21.3053	16.6687	14.8096	11.7994	8.5178	9.4502	1.9845	1.877	1.4553
Th	f'	-13.6049	-8.2118	-5.3692	-4.731	-4.1491	-7.24	-3.8533	-1.3524	-1.3955	-1.6136	f"	26.2511	22.2248	17.4018	15.4642	12.3296	8.8979	9.8403	2.0819	1.9695	1.5284
Pa	f'	-14.4639	-9.4459	-5.7337	-4.9639	-4.2473	-8.0334	-4.6067	-1.3672	-1.4083	-1.617	f"	27.4475	23.1548	18.1406	16.1295	12.8681	9.2807	10.2413	2.1835	2.0661	1.6047
U	f'	-12.3528	-9.9362	-6.1485	-5.2392	-4.3638	-9.6767	-5.7225	-1.3792	-1.4184	-1.6188	f"	30.1725	23.1239	18.8728	16.7952	13.409	9.6646	10.6428	2.2876	1.165	1.6831
Np	f'	-17.4143	-11.108	-6.6136	-5.5633	-4.5053	-11.4937	-6.9995	-1.3941	-1.4312	-1.6231	f"	31.7405	24.1168	19.6379	17.4837	13.9666	4.1493	9.5876	2.3958	2.2679	1.7648
Pu	f'	-18.0862	-11.4073	-6.9721	-5.813	-4.6563	-9.41	-13.5905	-1.418	-1.4527	-1.6351	f"	33.8963	23.296	20.1548	17.9579	14.3729	4.3056	6.9468	2.4979	2.3652	1.843
Am	f'	-19.7042	-11.7097	-7.7881	-6.292	-4.8483	-7.8986	-6.7022	-1.4359	-1.4684	-1.6424	f"	37.3716	24.5715	21.1738	18.8618	15.0877	4.5125	7.3108	2.6218	2.4829	1.9358
Cm	f'	-24.9307	-10.41	-8.6102	-6.7506	-5.0611	-7.3248	-6.2891	-1.4655	-1.4952	-1.6592	f"	41.4852	25.8115	21.888	19.5119	15.6355	4.698	7.6044	2.7421	2.5974	2.0271
Bk	f'	-32.8492	-9.2185	-9.3381	-7.4293	-5.3481	-6.8498	-6.3438	-1.4932	-1.5203	-1.6746	f"	32.5421	29.3028	21.9514	20.3581	16.319	4.9086	7.9477	2.8653	2.7147	2.1208
Cf	f'	-23.652	-23.5202	-9.7799	-7.8616	-5.5545	-6.6561	-6.4144	-1.5323	-1.5562	-1.6984	f"	21.9334	31.2999	22.4858	20.8536	16.7428	5.0785	8.193	2.9807	2.825	2.2102
