#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   52.60000     436.64      26.41     395.66      26.21     49.869     27.640
   52.80000     469.28      26.67     359.61      26.32    105.205     27.805
   53.00000     454.48      26.07     399.07      25.84     61.155     27.311
   53.20000     433.11      26.67     385.79      26.50     48.500     27.890
   53.40000     452.99      26.75     398.44      26.54     59.638     27.991
   53.60000     460.91      27.00     373.02      26.78     74.300     28.200
   53.80000     479.42      26.84     354.21      26.55    106.827     28.016
   54.00000     514.08      26.91     374.17      26.65    107.414     28.191
   54.20000     520.71      26.93     414.99      26.30    148.697     28.085
   54.40000     556.73      27.06     475.34      26.59    112.308     28.444
   54.60000     640.13      27.62     494.53      26.92    179.834     29.052
   54.80000     772.45      27.64     583.82      27.25    153.042     29.550
   55.00000     745.57      27.48     613.38      26.94    148.858     29.337
   55.20000     827.09      27.24     614.28      26.81    172.786     29.268
   55.40000     863.20      25.75     654.67      25.27    180.906     27.732
   55.60000     816.19      25.15     710.46      24.85    103.607     27.215
   55.80000     802.26      25.67     757.09      25.33     76.299     27.808
   56.00000     762.03      25.65     696.54      25.27     93.163     27.619
   56.20000     748.92      25.27     678.37      25.11     58.125     27.322
   56.40000     764.06      25.17     636.51      25.01     89.264     27.194
   56.60000     673.13      25.06     607.52      24.97     48.364     26.946
   56.80000     658.88      24.80     600.98      24.56     68.042     26.576
   57.00000     656.83      24.89     566.72      24.65     82.743     26.546
   57.20000     647.48      24.90     510.92      24.70     98.030     26.576
   57.40000     632.71      24.96     534.37      24.63    100.583     26.589
   57.60000     579.93      24.75     504.61      24.39     93.992     26.246
   57.80000     559.33      24.69     503.98      24.46     64.329     26.221
   58.00000     578.68      24.67     406.43      24.13    169.479     25.919
   58.20000     584.81      24.89     429.78      24.31    167.744     26.127
   58.40000     575.37      25.20     492.15      24.56    142.634     26.527
   58.60000     603.54      25.20     451.06      24.69    156.365     26.564
   58.80000     640.61      25.39     502.40      24.75    166.438     26.820
   59.00000     684.90      25.29     509.45      24.83    155.865     26.895
   59.20000     710.68      25.56     569.08      24.94    165.459     27.191
   59.40000     787.38      25.35     576.53      24.93    171.141     27.153
   59.60000     809.81      25.92     636.72      25.42    167.320     27.839
   59.80000     823.77      25.80     665.51      25.49    128.713     27.865
   60.00000     826.28      25.83     653.72      25.58    127.545     27.995
   60.20000     838.05      26.01     702.15      25.44    159.816     28.025
   60.40000     754.59      25.61     615.92      25.30    118.923     27.518
   60.60000     714.59      25.59     634.78      25.16    109.951     27.386
   60.80000     688.71      25.41     607.08      25.02    105.146     27.175
   61.00000     696.51      25.63     587.91      25.24    113.808     27.393
   61.20000     675.24      25.52     520.63      25.34    105.817     27.303
   61.40000     613.01      25.62     485.46      25.02    155.770     27.010
   61.60000     637.10      25.36     403.07      25.05    166.361     26.811
   61.80000     544.48      25.41     411.43      24.88    148.253     26.621
   62.00000     516.27      24.94     376.81      24.34    163.740     26.000
   62.20000     455.27      25.36     395.86      24.93     93.185     26.475
   62.40000     474.72      25.42     398.06      25.06     95.341     26.588
   62.60000     456.16      25.29     396.48      24.99     73.025     26.477
   62.80000     466.05      25.22     334.99      24.93    109.067     26.328
   63.00000     456.94      24.62     393.55      24.00    130.370     25.616
   63.20000     440.41      24.16     329.87      23.96     85.989     25.226
   63.40000     512.77      24.33     399.72      24.09     93.928     25.580
   63.60000     488.59      24.61     453.52      24.25     74.215     25.874
   63.80000     548.22      24.63     463.19      24.28     94.051     25.997
   64.00000     630.73      24.58     474.38      24.19    138.674     26.070
   64.20000     605.66      24.74     459.72      24.13    167.889     26.063
   64.40000     659.66      24.87     533.62      24.36    142.967     26.418
   64.60000     782.99      24.72     627.17      24.03    190.717     26.470
   64.80000     839.92      25.39     616.29      24.73    214.618     27.242
   65.00000     919.40      25.55     676.21      24.91    222.992     27.582
   65.20000     924.99      25.61     716.45      24.91    217.277     27.686
   65.40000    1017.50      25.64     777.95      25.05    215.501     27.987
   65.60000    1000.25      25.79     786.75      25.12    215.144     28.068
   65.80000    1035.91      25.50     830.47      24.94    196.955     27.925
   66.00000    1062.77      25.63     787.00      24.95    248.083     27.972
   66.20000    1023.34      25.77     805.94      25.19    203.016     28.165
   66.40000     950.90      25.58     752.64      25.16    164.572     27.888
   66.60000     901.83      25.41     743.72      24.77    177.795     27.550
   66.80000     858.09      25.28     735.51      24.68    154.921     27.381
   67.00000     788.71      24.97     656.83      24.58    125.577     26.977
   67.20000     818.61      24.66     633.48      24.00    196.802     26.525
   67.40000     731.56      24.85     590.90      24.51    122.507     26.739
   67.60000     699.64      24.82     544.82      24.58    111.853     26.627
   67.80000     615.29      24.62     519.03      24.23    107.416     26.214
   68.00000     584.64      24.60     455.17      24.16    133.497     26.030
   68.20000     610.66      24.63     468.21      24.24    128.796     26.138
   68.40000     515.66      24.64     428.36      24.41     77.725     26.014
   68.60000     566.21      24.92     522.67      24.71     52.808     26.480
   68.80000     557.98      25.23     509.85      24.94     68.284     26.790
   69.00000     590.37      25.12     489.93      24.82     94.022     26.719
   69.20000     602.21      25.09     471.21      24.79    107.632     26.668
   69.40000     610.71      24.97     544.49      24.84     51.649     26.764
   69.60000     631.87      25.22     454.58      24.91    136.161     26.794
   69.80000     614.17      25.40     562.03      24.99     87.256     27.059
   70.00000     591.01      25.99     644.57      25.57     36.170     27.790
   70.20000     682.02      25.97     551.09      25.65    111.849     27.799
   70.40000     671.82      26.03     558.30      25.65    113.192     27.828
   70.60000     620.64      25.77     545.90      25.65     55.859     27.611
   70.80000     672.90      26.01     496.26      25.57    151.711     27.685
   71.00000     623.43      26.05     554.12      25.59    101.828     27.716
   71.20000     650.80      26.71     525.32      26.29    122.940     28.444
   71.40000     656.90      26.57     538.29      26.33     93.850     28.422
   71.60000     610.22      26.81     529.77      26.28    115.860     28.422
   71.80000     570.86      26.69     515.49      26.18     98.157     28.241
   72.00000     576.21      26.69     491.33      26.22    109.739     28.229
   72.20000     611.69      26.85     578.37      26.33     91.612     28.545
   72.40000     659.55      27.14     498.33      26.78    131.827     28.887
   72.60000     614.16      27.40     536.85      27.24     57.018     29.256
   72.80000     639.04      27.61     532.73      27.35     88.933     29.599
   73.00000     596.43      27.45     552.06      27.42     24.407     29.355
   73.20000     557.56      27.45     571.27      27.21     25.415     29.243
   73.40000     562.18      27.31     538.88      27.23     22.846     29.130
   73.60000     614.91      26.77     564.88      26.66     41.478     28.636
   73.80000     648.89      27.27     565.44      27.22     47.184     29.280
   74.00000     644.83      27.43     607.76      27.22     46.010     29.400
   74.20000     647.35      27.32     572.18      27.29     43.225     29.350
   74.40000     625.47      27.24     571.09      27.14     41.907     29.207
   74.60000     659.67      27.47     561.10      27.19     88.133     29.379
   74.80000     598.98      27.18     570.50      26.97     43.483     29.037
   75.00000     649.05      27.64     621.09      27.32     58.963     29.643
   75.20000     720.45      28.04     575.67      27.71    119.761     30.113
   75.40000     704.04      28.03     619.59      27.91     59.456     30.235
   75.60000     639.50      28.04     611.82      27.78     48.463     30.073
   75.80000     681.64      27.92     602.89      27.84     52.617     30.085
   76.00000     717.42      28.08     569.11      27.80    114.921     30.150
   76.20000     691.49      28.09     591.11      27.90     74.546     30.191
   76.40000     666.95      28.67     574.74      28.76     32.648     30.902
   76.60000     670.42      28.80     520.08      28.39    130.257     30.691
   76.80000     627.38      28.83     509.63      28.18    144.350     30.522
   77.00000     554.07      28.71     543.86      28.51     31.308     30.565
   77.20000     578.27      28.72     544.98      28.51     43.003     30.609
   77.40000     603.68      28.79     493.29      28.02    159.704     30.358
   77.60000     612.98      29.53     507.67      28.55    179.667     31.051
   77.80000     636.95      29.67     459.99      29.28    140.953     31.462
   78.00000     602.01      29.68     438.24      29.12    152.426     31.293
   78.20000     605.13      29.70     554.46      29.19     91.400     31.557
   78.40000     618.76      29.60     489.28      29.04    132.971     31.328
   78.60000     583.18      29.60     489.35      29.23     95.510     31.360
   78.80000     586.35      29.74     506.69      29.48     75.828     31.583
   79.00000     633.06      30.76     510.29      30.51     93.869     32.753
   79.20000     668.07      31.06     579.07      30.82     75.430     33.221
   79.40000     673.48      30.89     512.45      30.47    134.370     32.871
   79.60000     620.36      30.79     585.51      30.52     51.982     32.889
   79.80000     697.11      30.64     561.40      30.48     87.808     32.895
   80.00000     696.35      30.97     529.27      30.56    137.536     33.024
   80.20000     673.40      31.43     583.05      31.02     94.971     33.574
   80.40000     715.34      31.88     640.60      31.51     84.215     34.262
   80.60000     625.41      31.54     609.83      31.61     -1.573     33.923
   80.80000     659.25      31.88     572.09      31.75     58.828     34.151
   81.00000     617.92      31.76     502.71      31.51     91.021     33.753
   81.20000     643.90      31.80     558.07      31.41     92.403     33.891
   81.40000     610.43      31.90     594.35      31.64     39.750     33.863
   81.60000     687.21      32.83     518.79      32.26    151.743     34.927
   81.80000     604.92      32.87     574.49      32.62     45.418     35.053
   82.00000     589.97      33.01     510.47      32.58     91.234     34.953
   82.20000     552.58      33.10     550.57      32.48     73.887     34.948
   82.40000     631.34      32.91     519.31      32.50    103.118     34.966
   82.60000     643.87      32.93     470.94      32.53    135.864     34.909
   82.80000     583.19      33.71     538.29      33.57     39.217     35.921
   83.00000     549.53      34.09     428.37      33.52    128.169     35.780
   83.20000     580.25      34.09     441.56      33.38    150.271     35.808
   83.40000     593.91      34.12     418.65      33.70    135.912     35.959
   83.60000     493.58      33.89     462.73      33.59     48.036     35.683
   83.80000     541.05      33.88     376.24      33.64    110.735     35.612
   84.00000     590.11      34.60     505.70      34.05    103.201     36.601
   84.20000     505.82      35.34     375.24      34.76    128.762     36.877
   84.40000     476.68      35.47     395.96      35.08     84.313     37.464
   84.60000     443.51      35.03     444.70      34.93     11.683     36.844
   84.80000     444.72      34.84     407.38      34.84     19.118     36.654
   85.00000     584.58      35.23     414.94      34.74    140.358     37.086
   85.20000     421.72      34.94     440.90      34.89     -6.235     36.737
   85.40000     398.12      36.16     342.74      35.99     46.623     37.690
   85.60000     436.74      36.09     319.99      35.89     81.378     37.652
   85.80000     355.54      36.30     285.33      35.96     71.998     37.521
   86.00000     379.55      35.78     285.98      35.64     62.463     37.190
   86.20000     315.49      35.68     322.61      35.68     -1.998     37.102
   86.40000     413.22      36.19     304.73      35.81     95.126     37.558
   86.60000     315.75      36.90     362.94      36.70     -0.680     38.327
