   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  15  -11   -1   2.105109  -335.081065     0.000000      335.081   67.85811    2.31782    6
  12   -7   -2   2.099933  -181.486689     0.000000      181.487   68.04822    0.67599    6
  12   -5    2   2.099933   -80.147663     0.000000      80.1477   68.04822    0.13183    6
  12   -8    2   2.084833   115.619308     0.000000      115.619   68.60949    0.26972    6
  12   -4   -2   2.084833    63.516732     0.000000      63.5167   68.60949    0.08140    6
  16   -9    1   2.046168    40.358548     0.000000      40.3585   70.09342    0.03146    6
  16   -7   -1   2.046168  -292.109712     0.000000       292.11   70.09342    1.64807    6
  11    0    2   2.041414  -148.015791     0.000000      148.016   70.28072    0.42089    6
  17   -7    0   2.038389  -113.519252     0.000000      113.519   70.40047    0.24672    6
  17  -10    0   2.038389  -161.920772     0.000000      161.921   70.40047    0.50196    6
   0    0    3   2.038200  -378.397759     0.000000      378.398   70.40796    0.91358    2
  14    0   -1   2.032191  -221.853583     0.000000      221.854   70.64719    0.93574    6
  16  -10   -1   2.032191    72.054662     0.000000      72.0547   70.64719    0.09871    6
  16   -6    1   2.032191  -291.403816     0.000000      291.404   70.64719    1.61441    6
  12   -2    2   2.027533  -275.844220     0.000000      275.844   70.83385    1.43902    6
  12  -10   -2   2.027533    15.663712     0.000000      15.6637   70.83385    0.00464    6
   2   -1   -3   2.024384    -0.467699     0.000000     0.467699   70.96066    0.00000    6
   2   -1    3   2.024384   167.143399     0.000000      167.143   70.96066    0.52647    6
  15   -2   -1   2.018496    71.727903     0.000000      71.7279   71.19910    0.09631    6
  15  -13    1   2.018496  -121.253172     0.000000      121.253   71.19910    0.27523    6
  13   -7    2   2.013932  -313.050785     0.000000      313.051   71.38514    1.82514    6
  13   -6   -2   2.013932    66.314015     0.000000       66.314   71.38514    0.08190    6
  15    0    0   2.011026  -373.142976     0.000000      373.143   71.50410    2.58461    6
  16   -2    0   1.997752  -133.030972     0.000000      133.031   72.05323    0.32363    6
  16  -14    0   1.997752     6.102913     0.000000      6.10291   72.05323    0.00068    6
   3    0   -3   1.997575   -25.124256     0.000000      25.1243   72.06064    0.01154    6
   3    0    3   1.997575   228.708757     0.000000      228.709   72.06064    0.95637    6
  12  -11    2   1.987530   153.472867     0.000000      153.473   72.48244    0.42581    6
  12   -1   -2   1.987530  -151.612527     0.000000      151.613   72.48244    0.41555    6
  13   -9   -2   1.987530   174.338258     0.000000      174.338   72.48244    0.54946    6
  13   -4    2   1.987530  -241.438358     0.000000      241.438   72.48244    1.05381    6
   4   -2   -3   1.984563  -343.746695     0.000000      343.747   72.60805    2.12902    6
   4   -2    3   1.984563   247.400308     0.000000        247.4   72.60805    1.10281    6
  16  -12    1   1.979015    41.932765     0.000000      41.9328   72.84426    0.03148    6
  16   -4   -1   1.979015    58.255762     0.000000      58.2558   72.84426    0.06077    6
  15   -1    1   1.966361   374.672645     0.000000      374.673   73.38935    2.47824    6
  15  -14   -1   1.966361   142.123876     0.000000      142.124   73.38935    0.35659    6
  13  -10    2   1.962140   108.963903     0.000000      108.964   73.57315    0.20862    6
  13   -3   -2   1.962140  -302.884218     0.000000      302.884   73.57315    1.61192    6
  17   -4    0   1.959453  -458.551036     0.000000      458.551   73.69069    3.68351    6
  17  -13    0   1.959453   310.543161     0.000000      310.543   73.69069    1.68939    6
   5   -4   -3   1.947004  -372.403541     0.000000      372.404   74.24073    2.39602    6
   5   -4    3   1.947004   199.106564     0.000000      199.107   74.24073    0.68491    6
   5   -1   -3   1.947004   -70.867449     0.000000      70.8674   74.24073    0.08677    6
   5   -1    3   1.947004   -99.804231     0.000000      99.8042   74.24073    0.17209    6
  16   -3    1   1.941764    16.632585     0.000000      16.6326   74.47496    0.00475    6
  17   -9   -1   1.941764     7.610391     0.000000      7.61039   74.47496    0.00099    6
  17   -8    1   1.941764   -80.606525     0.000000      80.6065   74.47496    0.11160    6
  16  -13   -1   1.941764  -332.710846     0.000000      332.711   74.47496    1.90139    6
  18   -9    0   1.935111  -187.056621     0.000000      187.057   74.77468    0.59660    6
  14   -8   -2   1.925816   188.680548     0.000000      188.681   75.19794    0.60081    6
